artist_name,count
Little Dragon,21143
The Last Shadow Puppets,21124
Blockhead,21120
Doves,21115
Suzanne Vega,21114
Ulrich Schnauss,21083
Antimatter,21063
Noir Désir,21049
Devendra Banhart,21011
The Pretty Reckless,21006
Brian Tyler,20994
Kylesa,20918
Aimee Mann,20914
The Sounds,20881
Skunk Anansie,20876
Violent Femmes,20866
The Temper Trap,20857
Mylène Farmer,20852
E.S. Posthumus,20841
The Streets,20770
崎元仁,20746
Bryan Adams,20737
Frank Klepacki,20707
SBTRKT,20688
Roxy Music,20686
A Silver Mt. Zion,20681
Edguy,20670
Erasure,20662
The Microphones,20661
Lorn,20632
George Harrison,20627
Deathstars,20619
Zedd,20614
Destroyer,20573
Live,20571
She & Him,20541
"Emerson, Lake & Palmer",20533
Emilíana Torrini,20527
mewithoutYou,20481
The Raveonettes,20474
A.R. Rahman,20441
t.A.T.u.,20428
Bloodbath,20396
Moloko,20395
Nada Surf,20367
大谷幸,20313
dEUS,20286
The Human League,20269
Common,20262
Draconian,20256
The Corrs,20233
The Jam,20226
Mr. Oizo,20226
Future Islands,20203
Tomahawk,20198
Sage Francis,20179
Shining,20174
Goldfinger,20148
Summoning,20142
Mount Kimbie,20098
White Lies,20079
大島ミチル,20071
fripSide,20061
Diary of Dreams,20059
B.o.B,20050
Bowling for Soup,20034
Everything Everything,19998
Steve Vai,19981
Why?,19975
iamamiwhoami,19928
Emperor,19926
Wax Tailor,19892
The Wedding Present,19884
Danko Jones,19882
The Damned,19876
MxPx,19870
Relient K,19858
Mayhem,19838
Mount Eerie,19836
Chase & Status,19827
The Bravery,19814
岡崎律子,19813
Queensrÿche,19799
CunninLynguists,19789
Vitalic,19750
Borknagar,19735
Fields of the Nephilim,19726
Hole,19721
James Newton Howard,19709
The Stooges,19703
Jane's Addiction,19700
Lagwagon,19698
下村陽子,19696
Travi$ Scott,19696
Kurt Vile,19687
Tortoise,19686
Tech N9ne,19685
Böhse Onkelz,19653
Matchbox Twenty,19652
FKA twigs,19605
Chuck Berry,19593
Streetlight Manifesto,19590
Smash Mouth,19538
Comeback Kid,19535
Arcturus,19522
The 69 Eyes,19518
The Dresden Dolls,19495
Eurythmics,19477
A Skylit Drive,19431
Local Natives,19420
De La Soul,19417
Mos Def,19411
Gang Starr,19402
Hadouken!,19401
Front 242,19392
Leftfield,19385
Electric Six,19380
Wolf Parade,19371
Herbie Hancock,19365
霜月はるか,19324
Jurassic 5,19299
Father John Misty,19287
The 1975,19246
Powerwolf,19232
Gucci Mane,19221
Edward Sharpe & The Magnetic Zeros,19171
Sentenced,19164
Car Seat Headrest,19163
Yello,19160
Cursive,19150
Гражданская оборона,19114
Gang of Four,19106
Thomas Från Sverige,19106
Pelican,19104
Chris Cornell,19103
Susanne Sundfør,19091
Annihilator,19082
Roger Waters,19070
This Romantic Tragedy,19059
Michael Bublé,19057
Alien Ant Farm,19051
Peter Bjorn and John,19039
Fountains of Wayne,18982
Bassnectar,18973
Ghostface Killah,18953
The Notwist,18938
Nosaj Thing,18908
Ray Charles,18901
和田薫,18901
Turisas,18899
Serge Gainsbourg,18862
Touché Amoré,18850
Halsey,18820
Mudvayne,18810
水樹奈々,18781
Hybrid,18777
M. Ward,18767
Noel Fielding & Julian Barratt,18766
Black Sun Empire,18763
First Aid Kit,18755
YUI,18750
Yung Lean,18749
Wild Nothing,18732
Aperture Science Psychoacoustics Laboratory,18730
Oingo Boingo,18730
The Game,18720
Them Crooked Vultures,18718
Sólstafir,18706
AOA,18699
Gentle Giant,18697
In Extremo,18685
Ultravox,18674
Vast,18663
!!!,18617
Ice Cube,18558
Earth,18552
Blyth Power,18516
Tarja,18513
Starfucker,18506
James Blunt,18505
Black Flag,18498
Annie Lennox,18484
川田まみ,18474
Godflesh,18461
Richard Cheese,18460
Lumen,18457
Crippled Black Phoenix,18455
Patti Smith,18445
Roxette,18420
Dance With The Dead,18377
Sun Kil Moon,18348
Liars,18302
Johannes Brahms,18292
Disasterpeace,18285
Allie X,18266
Héroes del Silencio,18228
Suicidal Tendencies,18216
The Hold Steady,18162
Minutemen,18147
Moonsorrow,18129
Manchester Orchestra,18098
Unknown Mortal Orchestra,18077
The Trews,18074
Charles Mingus,18073
Oceansize,18072
Art of Noise,18067
Sparklehorse,18064
Say Anything,18043
Julia Holter,18034
Machinedrum,18027
The Vaccines,18025
The Avett Brothers,18012
Whitney Houston,18008
倖田來未,17999
Glass Animals,17989
Feeder,17976
Deicide,17967
Foreigner,17949
Future,17940
Red Sparowes,17914
Angel Olsen,17910
Everclear,17905
Hurts,17891
The Walkmen,17857
Antony and the Johnsons,17832
Periphery,17830
Alabama Shakes,17787
Buzzcocks,17767
Saint Etienne,17765
Frightened Rabbit,17756
The Olivia Tremor Control,17743
Jet,17726
The Zombies,17724
Lifehouse,17680
Ty Segall,17676
ONE OK ROCK,17675
Have a Nice Life,17651
Midnight Oil,17648
Saxon,17619
T.I.,17617
The Cars,17615
El-P,17600
Paul Kalkbrenner,17579
Okkervil River,17571
David Gilmour,17570
Simian Mobile Disco,17554
Dua Lipa,17546
シェリル・ノーム starring May'n,17539
Sirenia,17534
Nicolas Jaar,17531
Angelo Badalamenti,17528
Týr,17526
Aretha Franklin,17520
Bonnie 'Prince' Billy,17520
Supercell,17520
Paul van Dyk,17496
Netsky,17468
Kygo,17436
The Cult,17435
Mansun,17435
Andrew Lloyd Webber,17431
Krewella,17427
Ben Harper,17415
Joe Cocker,17408
Cloudkicker,17405
